Rank,Team,Conference,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Enter
3,Miami Heat,E,82,53,29,64.6,48.4,110,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,14.6,7.4,3.2,4,20.5,20.6,4.5,TRUE
6,Boston Celtics,E,82,51,31,62.2,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3,TRUE
6,Milwaukee Bucks,E,82,51,31,62.2,48.2,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.2,36.5,46.7,23.9,13.4,7.6,4,4.4,18.2,19.7,3.4,TRUE
6,Philadelphia 76ers,E,82,51,31,62.2,48.3,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,12.5,7.7,5.3,4.6,19.4,19.4,2.6,TRUE
10,Toronto Raptors,E,82,48,34,58.5,48.4,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32,45.3,22.1,12.5,9,4.6,5.1,19.6,19.1,2.3,TRUE
12,Chicago Bulls,E,82,46,36,56.1,48.1,111.6,41.7,86.9,48,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5,18.8,18.2,-0.4,TRUE
14,Brooklyn Nets,E,82,44,38,53.7,48.2,112.9,42,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,0.8,TRUE
14,Cleveland Cavaliers,E,82,44,38,53.7,48.1,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76,10.2,34,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20,2.1,FALSE
16,Atlanta Hawks,E,82,43,39,52.4,48.1,113.9,41.5,88.3,47,12.9,34.4,37.4,18.1,22.3,81.2,10,33.9,44,24.6,11.9,7.2,4.2,4.5,18.7,20.3,1.6,TRUE
16,Charlotte Hornets,E,82,43,39,52.4,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4,FALSE
19,New York Knicks,E,82,37,45,45.1,48.2,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18,24.1,74.4,11.5,34.6,46.1,21.9,13.3,7,4.9,4.6,20.4,20.4,-0.1,FALSE
21,Washington Wizards,E,82,35,47,42.7,48.4,108.6,40.6,86,47.2,10.5,30.6,34.2,17,21.7,78.3,9,34.1,43.1,25,13.1,6.4,5,4.2,18.8,19.9,-3.4,FALSE
26,Indiana Pacers,E,82,25,57,30.5,48.5,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,-3.5,FALSE
28,Detroit Pistons,E,82,23,59,28,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22,78.2,11,32,43,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7,FALSE
29,Orlando Magic,E,82,22,60,26.8,48.2,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,14.5,6.8,4.5,5.2,19.7,18.3,-8,FALSE
